game_id,legion_id,team,unit_type,start_x,start_y,start_units,end_units,damage_dealt,damage_received,team_won
93,GREEN_1,GREEN,GOBLIN,2,-2,11,9,60.00,46.00,false
93,GREEN_2,GREEN,GOBLIN,3,-3,10,10,12.00,12.00,false
93,GREEN_3,GREEN,ARCHER,1,-3,2,1,8.00,8.00,false
93,BLUE_4,BLUE,ASSASSIN,-1,3,8,0,46.00,64.00,false
93,BLUE_5,BLUE,ASSASSIN,1,2,2,0,20.00,16.00,false
93,BLUE_6,BLUE,GOBLIN,-3,3,1,1,0.00,0.00,false
94,GREEN_1,GREEN,GOBLIN,2,-2,11,9,60.00,46.00,false
94,GREEN_2,GREEN,GOBLIN,3,-3,10,10,12.00,12.00,false
94,GREEN_3,GREEN,ARCHER,1,-3,2,1,8.00,8.00,false
94,BLUE_4,BLUE,ASSASSIN,-1,3,8,0,46.00,64.00,false
94,BLUE_5,BLUE,ASSASSIN,1,2,2,0,20.00,16.00,false
94,BLUE_6,BLUE,GOBLIN,-3,3,1,1,0.00,0.00,false
95,GREEN_1,GREEN,GOBLIN,1,-2,12,12,56.00,7.00,false
95,GREEN_2,GREEN,GOLEM,3,-3,3,3,0.00,0.00,false
95,GREEN_3,GREEN,SPIDER,2,-2,3,3,0.00,6.00,false
95,BLUE_4,BLUE,MAGE,1,2,7,0,13.00,56.00,false
95,BLUE_5,BLUE,GOBLIN,-3,3,7,7,0.00,0.00,false
95,BLUE_6,BLUE,SPIDER,-2,3,1,1,0.00,0.00,false
96,GREEN_1,GREEN,GOBLIN,1,-2,12,12,56.00,7.00,false
96,GREEN_2,GREEN,GOLEM,3,-3,3,3,0.00,0.00,false
96,GREEN_3,GREEN,SPIDER,2,-2,3,3,0.00,6.00,false
96,BLUE_4,BLUE,MAGE,1,2,7,0,13.00,56.00,false
96,BLUE_5,BLUE,GOBLIN,-3,3,7,7,0.00,0.00,false
96,BLUE_6,BLUE,SPIDER,-2,3,1,1,0.00,0.00,false
93,GREEN_1,GREEN,GARGOYLE,0,-3,6,0,78.00,96.00,true
