game_id,pair_index,mirror_index,a_is_green,brain_a,brain_b,green_brain,blue_brain,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
1,0,0,true,,,utility,curriculum_pass,3,75,332598042,0,0,0,,false,0,0,0,0,,
2,0,0,true,,,curriculum_pass,utility,3,75,332598042,0,0,0,,false,0,0,0,0,,
3,0,0,true,,,utility,curriculum_pass,3,75,332605961,0,0,0,,false,0,0,0,0,,
4,0,0,true,,,curriculum_pass,utility,3,75,332605961,0,0,0,,false,0,0,0,0,,
5,0,0,true,,,utility,curriculum_pass,3,75,332613880,0,0,0,,false,0,0,0,0,,
6,0,0,true,,,curriculum_pass,utility,3,75,332613880,0,0,0,,false,0,0,0,0,,
7,0,0,true,,,utility,curriculum_pass,3,75,332621799,0,0,0,,false,0,0,0,0,,
8,0,0,true,,,curriculum_pass,utility,3,75,332621799,0,0,0,,false,0,0,0,0,,
9,0,0,true,,,utility,curriculum_pass,3,75,332629718,0,0,0,,false,0,0,0,0,,
10,0,0,true,,,curriculum_pass,utility,3,75,332629718,0,0,0,,false,0,0,0,0,,
11,0,0,true,,,utility,curriculum_pass,3,75,340517042,0,0,0,,false,0,0,0,0,,
12,0,0,true,,,curriculum_pass,utility,3,75,340517042,0,0,0,,false,0,0,0,0,,
13,0,0,true,,,utility,curriculum_pass,3,75,340524961,0,0,0,,false,0,0,0,0,,
14,0,0,true,,,curriculum_pass,utility,3,75,340524961,0,0,0,,false,0,0,0,0,,
15,0,0,true,,,utility,curriculum_pass,3,75,340532880,0,0,0,,false,0,0,0,0,,
16,0,0,true,,,curriculum_pass,utility,3,75,340532880,0,0,0,,false,0,0,0,0,,
17,0,0,true,,,utility,curriculum_pass,3,75,340540799,0,0,0,,false,0,0,0,0,,
18,0,0,true,,,curriculum_pass,utility,3,75,340540799,0,0,0,,false,0,0,0,0,,
19,0,0,true,,,utility,curriculum_pass,3,75,340548718,0,0,0,,false,0,0,0,0,,
20,0,0,true,,,curriculum_pass,utility,3,75,340548718,0,0,0,,false,0,0,0,0,,
21,0,0,true,,,utility,curriculum_pass,3,75,348436042,0,0,0,,false,0,0,0,0,,
22,0,0,true,,,curriculum_pass,utility,3,75,348436042,0,0,0,,false,0,0,0,0,,
