game_id,pair_index,mirror_index,a_is_green,brain_a,brain_b,green_brain,blue_brain,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
1,0,0,true,,,utility,curriculum_pass,3,75,332598042,332649911,48,0,,false,18,18,2,2,GOLEM:3;SPIDER:15,GOLEM:3;SPIDER:15
2,0,0,true,,,curriculum_pass,utility,3,75,332598042,332649911,48,0,,false,18,18,2,2,GOLEM:3;SPIDER:15,GOLEM:3;SPIDER:15
3,0,0,true,,,utility,curriculum_pass,3,75,332605961,332657828,48,0,,false,17,17,3,3,GOBLIN:12;GOLEM:1;MAGE:4,GOBLIN:12;GOLEM:1;MAGE:4
4,0,0,true,,,curriculum_pass,utility,3,75,332605961,332657828,87,0,BLUE,false,0,14,3,3,GOBLIN:12;GOLEM:1;MAGE:4,GOBLIN:12;GOLEM:1;MAGE:4
5,0,0,true,,,utility,curriculum_pass,3,75,332613880,332633685,55,0,,false,12,13,4,4,ARCHER:1;ASSASSIN:5;GOBLIN:11,ARCHER:1;ASSASSIN:5;GOBLIN:11
6,0,0,true,,,curriculum_pass,utility,3,75,332613880,332633685,58,0,,false,10,14,4,4,ARCHER:1;ASSASSIN:5;GOBLIN:11,ARCHER:1;ASSASSIN:5;GOBLIN:11
7,0,0,true,,,utility,curriculum_pass,3,75,61871147042,61871101583,18,0,GREEN,false,6,0,3,3,GOBLIN:1;SCORPION_RIDER:9,GOBLIN:1;SCORPION_RIDER:9
8,0,0,true,,,curriculum_pass,utility,3,75,61871147042,61871101583,58,0,,false,9,10,3,3,GOBLIN:1;SCORPION_RIDER:9,GOBLIN:1;SCORPION_RIDER:9
9,0,0,true,,,utility,curriculum_pass,3,75,61871154961,61871110588,48,0,,false,12,12,3,3,GOLEM:1;MAGE:8;SPIDER:3,GOLEM:1;MAGE:8;SPIDER:3
10,0,0,true,,,curriculum_pass,utility,3,75,61871154961,61871110588,17,0,BLUE,false,0,6,3,3,GOLEM:1;MAGE:8;SPIDER:3,GOLEM:1;MAGE:8;SPIDER:3
11,0,0,true,,,utility,curriculum_pass,3,75,61871162880,61871216813,48,0,,false,20,20,3,3,SCORPION_RIDER:3;SPIDER:17,SCORPION_RIDER:3;SPIDER:17
12,0,0,true,,,curriculum_pass,utility,3,75,61871162880,61871216813,21,0,BLUE,false,0,11,3,3,SCORPION_RIDER:3;SPIDER:17,SCORPION_RIDER:3;SPIDER:17
13,0,0,true,,,utility,curriculum_pass,3,75,61871170799,61871225410,48,0,,false,11,11,3,3,GARGOYLE:5;MAGE:5;SPIDER:1,GARGOYLE:5;MAGE:5;SPIDER:1
14,0,0,true,,,curriculum_pass,utility,3,75,61871170799,61871225410,48,0,,false,11,11,3,3,GARGOYLE:5;MAGE:5;SPIDER:1,GARGOYLE:5;MAGE:5;SPIDER:1
15,0,0,true,,,utility,curriculum_pass,3,75,340517042,340475423,61,0,,false,11,4,3,3,GOBLIN:1;SCORPION_RIDER:6;SPIDER:8,GOBLIN:1;SCORPION_RIDER:6;SPIDER:8
16,0,0,true,,,curriculum_pass,utility,3,75,340517042,340475423,48,0,,false,15,15,3,3,GOBLIN:1;SCORPION_RIDER:6;SPIDER:8,GOBLIN:1;SCORPION_RIDER:6;SPIDER:8
17,0,0,true,,,utility,curriculum_pass,3,75,340524961,340467980,48,0,,false,11,11,3,3,GARGOYLE:10;SPIDER:1,GARGOYLE:10;SPIDER:1
