game_id,legion_id,team,unit_type,start_x,start_y,start_units,end_units,damage_dealt,damage_received,team_won
1,GREEN_1,GREEN,SPIDER,3,-3,15,7,83.00,42.00,true
1,GREEN_2,GREEN,GOLEM,1,-3,3,3,27.00,21.00,true
1,BLUE_3,BLUE,MAGE,0,3,7,0,51.00,56.00,false
1,BLUE_4,BLUE,SCORPION_RIDER,-1,2,3,0,12.00,54.00,false
2,GREEN_1,GREEN,SPIDER,3,-3,15,12,33.00,42.00,true
2,GREEN_2,GREEN,GOLEM,1,-3,3,3,77.00,24.00,true
2,BLUE_3,BLUE,MAGE,0,3,7,0,51.00,56.00,false
2,BLUE_4,BLUE,SCORPION_RIDER,-1,2,3,0,15.00,54.00,false
3,GREEN_1,GREEN,GOBLIN,1,-2,12,0,48.00,96.00,false
3,GREEN_2,GREEN,MAGE,2,-3,4,0,23.00,32.00,false
3,GREEN_3,GREEN,GOLEM,3,-3,1,0,4.00,26.00,false
3,BLUE_4,BLUE,SPIDER,0,3,13,0,75.00,55.00,true
3,BLUE_5,BLUE,ARCHER,-3,3,5,5,74.00,12.00,true
3,BLUE_6,BLUE,ARCHER,1,2,1,0,5.00,8.00,true
4,GREEN_1,GREEN,GOBLIN,1,-2,12,0,42.00,96.00,false
4,GREEN_2,GREEN,MAGE,2,-3,4,0,38.00,32.00,false
4,GREEN_3,GREEN,GOLEM,3,-3,1,0,0.00,28.00,false
4,BLUE_4,BLUE,SPIDER,0,3,13,8,58.00,32.00,true
4,BLUE_5,BLUE,ARCHER,-3,3,5,0,93.00,40.00,true
4,BLUE_6,BLUE,ARCHER,1,2,1,0,5.00,8.00,true
5,GREEN_1,GREEN,SCORPION_RIDER,2,-3,6,6,104.00,55.00,true
5,GREEN_2,GREEN,SPIDER,-1,-2,8,8,0.00,0.00,true
5,GREEN_3,GREEN,GOBLIN,2,-2,1,1,0.00,0.00,true
5,BLUE_4,BLUE,ARCHER,-2,3,8,0,50.00,64.00,false
5,BLUE_5,BLUE,MAGE,1,2,3,0,1.00,24.00,false
