game_id,pair_index,mirror_index,a_is_green,brain_a,brain_b,green_brain,blue_brain,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
1,0,0,true,,,utility,cascade,3,75,332598042,332649911,8,0,GREEN,false,10,0,2,2,GOLEM:3;SPIDER:15,MAGE:7;SCORPION_RIDER:3
2,0,0,true,,,cascade,utility,3,75,332598042,332649911,10,0,GREEN,false,15,0,2,2,GOLEM:3;SPIDER:15,MAGE:7;SCORPION_RIDER:3
3,0,0,true,,,utility,cascade,3,75,332605961,332657828,15,0,BLUE,false,0,5,3,3,GOBLIN:12;GOLEM:1;MAGE:4,ARCHER:6;SPIDER:13
4,0,0,true,,,cascade,utility,3,75,332605961,332657828,13,0,BLUE,false,0,8,3,3,GOBLIN:12;GOLEM:1;MAGE:4,ARCHER:6;SPIDER:13
5,0,0,true,,,utility,cascade,3,75,340517042,340475423,6,0,GREEN,false,15,0,3,3,GOBLIN:1;SCORPION_RIDER:6;SPIDER:8,ARCHER:8;GOBLIN:2;MAGE:3
6,0,0,true,,,cascade,utility,3,75,340517042,340475423,9,0,BLUE,false,0,7,3,3,GOBLIN:1;SCORPION_RIDER:6;SPIDER:8,ARCHER:8;GOBLIN:2;MAGE:3
7,0,0,true,,,utility,cascade,3,75,340524961,340467980,21,0,GREEN,false,3,0,3,3,GARGOYLE:10;SPIDER:1,GARGOYLE:3;SCORPION_RIDER:6;SPIDER:2
8,0,0,true,,,cascade,utility,3,75,340524961,340467980,20,0,GREEN,false,8,0,3,3,GARGOYLE:10;SPIDER:1,GARGOYLE:3;SCORPION_RIDER:6;SPIDER:2
9,0,0,true,,,utility,cascade,3,75,348436042,348416231,12,0,GREEN,false,6,0,2,3,MAGE:5;SCORPION_RIDER:5,ASSASSIN:1;MAGE:4;SPIDER:13
10,0,0,true,,,cascade,utility,3,75,348436042,348416231,10,0,GREEN,false,8,0,2,3,MAGE:5;SCORPION_RIDER:5,ASSASSIN:1;MAGE:4;SPIDER:13
