game_id,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
1,4,125,42,56967,18,131,GREEN,false,13,0,5,5,GOBLIN:6;GOLEM:4;MAGE:9;SPIDER:1,ASSASSIN:8;GOBLIN:6;SCORPION_RIDER:6;SPIDER:1
2,4,125,7961,49588,41,91,BLUE,false,0,4,5,5,ASSASSIN:4;GOBLIN:1;GOLEM:3;SCORPION_RIDER:8,ASSASSIN:4;MAGE:4;SCORPION_RIDER:3;SPIDER:15
3,4,125,15880,57509,17,64,BLUE,false,0,7,4,7,SCORPION_RIDER:5;SPIDER:28,ARCHER:5;GARGOYLE:6;GOBLIN:3;GOLEM:4;SCORPION_RIDER:1
4,4,125,23799,33370,44,228,GREEN,false,12,0,8,8,GARGOYLE:3;GOBLIN:12;GOLEM:2;MAGE:6;SPIDER:2,ASSASSIN:2;GARGOYLE:3;GOBLIN:16;SCORPION_RIDER:1;SPIDER:11
5,4,125,31718,42315,9,59,BLUE,false,0,22,5,4,ASSASSIN:10;GOBLIN:1;SCORPION_RIDER:4;SPIDER:6,ARCHER:19;ASSASSIN:4
6,4,125,39637,17528,52,120,BLUE,false,0,6,6,4,GOBLIN:10;GOLEM:3;MAGE:2;SCORPION_RIDER:6;SPIDER:1,ASSASSIN:2;GOLEM:4;MAGE:10
7,4,125,47556,26473,16,66,GREEN,false,13,0,5,5,ASSASSIN:2;GOBLIN:13;GOLEM:3;SPIDER:14,ARCHER:1;ASSASSIN:6;GOBLIN:11;SPIDER:15
8,4,125,55475,1566,18,98,GREEN,false,13,0,6,6,ARCHER:12;ASSASSIN:3;GOBLIN:4;SCORPION_RIDER:3;SPIDER:2,ARCHER:3;GARGOYLE:8;MAGE:3;SPIDER:11
9,4,125,63394,10511,20,188,GREEN,false,13,0,7,7,ARCHER:7;GARGOYLE:3;SCORPION_RIDER:8;SPIDER:1,GARGOYLE:5;MAGE:12;SPIDER:2
10,4,125,71313,116796,24,117,GREEN,false,9,0,7,4,GARGOYLE:1;GOBLIN:5;GOLEM:3;MAGE:4;SCORPION_RIDER:5;SPIDER:1,ASSASSIN:4;MAGE:7;SCORPION_RIDER:6
11,4,125,79232,125741,16,93,GREEN,false,19,0,4,6,ARCHER:10;GOBLIN:12;GOLEM:1;MAGE:4,GARGOYLE:10;GOBLIN:10;MAGE:3;SPIDER:1
12,4,125,87151,101058,201,804,,true,7,7,5,6,ARCHER:8;GARGOYLE:4;GOLEM:2;MAGE:5,ARCHER:1;GARGOYLE:3;MAGE:5;SCORPION_RIDER:8
13,4,125,95070,110067,28,218,GREEN,false,17,0,6,5,ARCHER:9;ASSASSIN:1;GARGOYLE:6;GOBLIN:9;SPIDER:1,GARGOYLE:5;MAGE:4;SCORPION_RIDER:7;SPIDER:2
14,4,125,102989,85216,15,119,BLUE,false,0,23,6,7,GARGOYLE:6;GOLEM:3;SCORPION_RIDER:2;SPIDER:12,ARCHER:7;ASSASSIN:1;GOBLIN:2;SCORPION_RIDER:5;SPIDER:12
15,4,125,110908,94097,24,66,GREEN,false,4,0,4,5,ARCHER:7;ASSASSIN:6;SCORPION_RIDER:6,ASSASSIN:10;GOBLIN:5;SCORPION_RIDER:4;SPIDER:2
16,4,125,118827,69254,14,90,GREEN,false,16,0,7,5,ARCHER:9;ASSASSIN:1;GOBLIN:3;GOLEM:4;MAGE:3;SPIDER:1,ASSASSIN:9;GOLEM:4;SCORPION_RIDER:2;SPIDER:2
17,4,125,126746,78263,28,148,GREEN,false,14,0,7,7,ASSASSIN:4;GOBLIN:12;MAGE:6;SCORPION_RIDER:1;SPIDER:3,ARCHER:7;GARGOYLE:1;GOBLIN:1;GOLEM:3;MAGE:2;SPIDER:12
18,4,125,134665,184484,201,686,,true,8,12,6,5,ASSASSIN:8;GARGOYLE:2;GOLEM:3;MAGE:1;SCORPION_RIDER:2,ASSASSIN:1;GOBLIN:2;SCORPION_RIDER:14
19,4,125,142584,193109,26,130,GREEN,false,6,0,7,6,ARCHER:9;ASSASSIN:3;GARGOYLE:1;GOLEM:1;SCORPION_RIDER:1;SPIDER:11,ARCHER:4;ASSASSIN:7;GARGOYLE:8
20,4,125,150503,169290,20,103,GREEN,false,30,0,5,6,ARCHER:1;GOBLIN:9;SCORPION_RIDER:5;SPIDER:17,GARGOYLE:10;GOLEM:2;SCORPION_RIDER:4;SPIDER:1
21,4,125,158422,177275,23,175,BLUE,false,0,13,7,4,ARCHER:4;GOBLIN:7;GOLEM:4;SCORPION_RIDER:5;SPIDER:1,GOLEM:2;MAGE:8;SCORPION_RIDER:6
22,4,125,166341,153448,16,84,GREEN,false,22,0,6,5,ARCHER:10;ASSASSIN:2;GARGOYLE:1;GOBLIN:1;SCORPION_RIDER:2;SPIDER:11,ARCHER:1;GARGOYLE:8;SPIDER:21
