game_id,pair_index,mirror_index,a_is_green,brain_a,brain_b,green_brain,blue_brain,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
1,1,0,true,utility,cascade,utility,cascade,3,75,42,56967,12,283,GREEN,false,9,0,3,4,GARGOYLE:6;GOLEM:3;SPIDER:1,ARCHER:4;GARGOYLE:1;GOBLIN:1;SCORPION_RIDER:5
2,1,1,false,utility,cascade,cascade,utility,3,75,42,56967,42,450,GREEN,false,2,0,3,4,GARGOYLE:6;GOLEM:3;SPIDER:1,ARCHER:4;GARGOYLE:1;GOBLIN:1;SCORPION_RIDER:5
3,2,0,true,utility,cascade,utility,cascade,3,75,7961,49588,14,134,GREEN,false,6,0,2,2,MAGE:7;SPIDER:8,SPIDER:25
4,2,1,false,utility,cascade,cascade,utility,3,75,7961,49588,16,159,GREEN,false,5,0,2,2,MAGE:7;SPIDER:8,SPIDER:25
5,3,0,true,utility,cascade,utility,cascade,3,75,15880,57509,17,212,GREEN,false,3,0,3,3,GARGOYLE:1;GOBLIN:12;GOLEM:3,GOLEM:4;SCORPION_RIDER:4;SPIDER:1
6,3,1,false,utility,cascade,cascade,utility,3,75,15880,57509,19,350,BLUE,false,0,4,3,3,GARGOYLE:1;GOBLIN:12;GOLEM:3,GOLEM:4;SCORPION_RIDER:4;SPIDER:1
7,4,0,true,utility,cascade,utility,cascade,3,75,23799,33370,5,196,BLUE,false,0,15,3,3,ARCHER:7;ASSASSIN:4;SPIDER:1,ARCHER:7;GOBLIN:10;SPIDER:1
8,4,1,false,utility,cascade,cascade,utility,3,75,23799,33370,5,178,BLUE,false,0,11,3,3,ARCHER:7;ASSASSIN:4;SPIDER:1,ARCHER:7;GOBLIN:10;SPIDER:1
9,5,0,true,utility,cascade,utility,cascade,3,75,31718,42315,12,164,GREEN,false,12,0,3,3,ARCHER:6;GOBLIN:12;SPIDER:1,MAGE:7;SPIDER:8
10,5,1,false,utility,cascade,cascade,utility,3,75,31718,42315,6,126,GREEN,false,18,0,3,3,ARCHER:6;GOBLIN:12;SPIDER:1,MAGE:7;SPIDER:8
11,6,0,true,utility,cascade,utility,cascade,3,75,39637,17528,11,282,BLUE,false,0,1,3,3,ASSASSIN:5;GARGOYLE:5;SPIDER:1,ASSASSIN:3;SCORPION_RIDER:6;SPIDER:2
12,6,1,false,utility,cascade,cascade,utility,3,75,39637,17528,14,244,GREEN,false,1,0,3,3,ASSASSIN:5;GARGOYLE:5;SPIDER:1,ASSASSIN:3;SCORPION_RIDER:6;SPIDER:2
